Vehicle_Density,Average_Speed,Traffic_Flow_Rate,Weather_Condition,Temperature,Visibility,Signal_Strength,Latency,Packet_Loss,Hour_of_Day,Day_of_Week,Is_Peak_Hour,Sin_Time,Cos_Time,Traffic_Condition
144,33.25985415721766,478.9418998639343,Foggy,25.337428426584296,52.673790129959485,57.75106991272265,52.51673540036215,0.2176104431165482,2,Wed,0,0.49999999999999994,0.8660254037844387,High
91,32.382882787688956,294.6842333679695,Clear,17.68089504423809,351.88596649881293,63.745231013415705,113.41165991715688,0.04404503696758155,16,Mon,0,-0.8660254037844385,-0.5000000000000004,Medium
198,95.28966500269388,1886.735367053339,Clear,35.88113869345006,418.1494031348754,50.63283449614564,76.99374892350308,3.8708344253436366,10,Thu,1,0.49999999999999994,-0.8660254037844387,Medium
156,79.91992139239656,1246.7507737213864,Foggy,27.1185339349923,382.0657718654825,70.44714380421141,11.615596930781305,4.053708519645944,2,Fri,0,0.49999999999999994,0.8660254037844387,Medium
54,97.01860670889113,523.9004762280122,Rainy,20.044989533554755,86.48371226628444,98.12424933368479,27.719817602696505,1.893257356261831,21,Tue,0,-0.7071067811865477,0.7071067811865474,Low
141,26.048403249340062,367.2824858156949,Foggy,19.879365376000155,210.77191489822033,63.27610454073216,175.14801673231335,3.4566301350639828,16,Thu,0,-0.8660254037844385,-0.5000000000000004,High
31,51.45177035952122,159.5004881145158,Clear,35.80564451260947,357.4744746900754,72.16149765862305,56.37520198787231,3.758081312161546,7,Tue,1,0.9659258262890683,-0.25881904510252063,Low
11,46.5251759253755,51.17769351791305,Rainy,24.36340381127603,418.47480464635305,40.30402686983574,141.73886297321394,0.6520194249017452,20,Tue,1,-0.8660254037844386,0.5000000000000001,Low
122,66.40710677355636,810.1667026373876,Clear,39.23816308310017,69.27679453504928,51.190035004288234,113.91271366039334,4.1131677765808226,18,Sat,1,-1.0,-1.8369701987210297e-16,Medium
132,68.77579401220927,907.8404809611624,Foggy,39.96400621212672,326.1679168323096,48.31040666950955,176.71834043763783,1.028226117246977,20,Tue,1,-0.8660254037844386,0.5000000000000001,Medium
102,64.13698976159736,654.197295568293,Clear,23.149476094220304,75.43158097462805,90.89647604003372,142.01905177975948,2.0057995362376047,4,Sat,0,0.8660254037844386,0.5000000000000001,Medium
171,84.610069565038,1446.8321895621498,Clear,26.710238625608966,396.4361025555021,77.23315951569286,25.850625020119182,0.7458735722712778,6,Wed,0,1.0,6.123233995736766e-17,Medium
166,66.2105403475538,1099.0949697693932,Clear,27.888674851878555,355.85414037078783,58.99012839461744,189.8298375665149,3.6521324058192812,15,Sun,0,-0.7071067811865471,-0.7071067811865479,Medium
68,27.59722201827012,187.66110972423684,Rainy,33.83033596847193,494.4979994617051,88.42796972270042,160.03088800300654,4.775067414912927,0,Tue,0,0.0,1.0,Low
167,86.81952481270925,1449.8860643722444,Clear,24.020170656143783,135.93600399166223,82.96081845597061,182.23505253754732,1.8814308755249005,19,Wed,1,-0.9659258262890684,0.2588190451025203,Medium
186,63.217381342289485,1175.8432929665844,Clear,36.821832144178146,453.70870983992137,82.99294408139751,85.88034832675812,1.29312696243236,21,Sun,0,-0.7071067811865477,0.7071067811865474,Medium
142,72.94221859773108,1035.7795040877813,Clear,29.0867618453213,153.785590547636,56.3991591974285,40.1794380641869,4.832408295183718,23,Thu,0,-0.25881904510252157,0.9659258262890681,Medium
135,49.68903507441023,670.8019735045381,Foggy,34.175313249519235,369.8002606742758,98.24788895636031,59.52865409855244,2.778455972393194,8,Tue,1,0.8660254037844387,-0.4999999999999998,Medium
149,21.44992328365838,319.6038569265098,Clear,25.958319390358845,259.7015814588558,48.72895897595561,44.320944680031175,3.00776824821759,8,Sun,1,0.8660254037844387,-0.4999999999999998,High
124,34.340448952623206,425.8215670125277,Foggy,31.513310385912153,472.6483226949583,63.37571490631769,34.04735452465627,3.3056050383107474,18,Tue,1,-1.0,-1.8369701987210297e-16,Medium
147,30.477899439533928,448.0251217611488,Foggy,30.685975192053775,307.3922084048057,52.5334620546043,29.326504367529516,0.5540580141831775,11,Sun,0,0.258819045102521,-0.9659258262890682,High
142,86.10726487601494,1222.723161239412,Clear,31.54794325394816,386.1385721090467,43.77867447919798,93.63505131721779,4.59882316906724,15,Fri,0,-0.7071067811865471,-0.7071067811865479,Medium
180,37.237032582058404,670.2665864770513,Clear,17.049219439837263,187.59147042006447,85.76006898325852,86.0862236495315,4.7719061348955805,21,Mon,0,-0.7071067811865477,0.7071067811865474,High
